disclosure_cycle,cdp_requesting_org_number,requesting_organization,cdp_disclosing_org_number,disclosing_organization,disclosing_org_type,cdp_region,discloser_country_or_area,public_status,question_number,question_text,row_order,row_name,col1_Safeguards in place,col2_Web link with additional information about the safeguard,"col3_Explain how the safeguard is implemented, or if there is no safeguard why this is the case"
2025 Disclosure Cycle,779465,CDP,848149,Mato Grosso do Sul,States & Regions,Latin America,Brazil,Public,Q10.4,Please explain what safeguards are in place to protect your region's forests in the long-term.,3,Row 3,Regional laws on avoided conversion,Lei 6.160/2023 - Lei do Pantanal\n,"Conservação, a proteção, a restauração e\na exploração ecologicamente sustentável da Área de Uso Restrito da Planície Pantaneira"
2025 Disclosure Cycle,779465,CDP,848149,Mato Grosso do Sul,States & Regions,Latin America,Brazil,Public,Q10.4,Please explain what safeguards are in place to protect your region's forests in the long-term.,4,Row 4,Monitoring systems to inform management of deforestation and/or forest degradation,Unidade de Geoprocessamento (UNIGEO),"A UNIGEO desenvolveu sistemas automatizados de alerta de desmatamento e queimadas, com base em sensoriamento remoto (NDVI e satélite GOES), inteligência artificial e algoritmos de vetorização automática, permitindo a detecção precoce e precisa de alterações na cobertura vegetal. Esses sistemas realizam cruzamentos com bases do Cadastro Ambiental Rural (CAR), Áreas de Preservação Permanente (APP), Unidades de Conservação (UC) e outras áreas sensíveis, gerando alertas com robustez técnica para subsidiar ações de fiscalização e responsabilização. "
2025 Disclosure Cycle,779465,CDP,848149,Mato Grosso do Sul,States & Regions,Latin America,Brazil,Public,Q10.4,Please explain what safeguards are in place to protect your region's forests in the long-term.,5,Row 5,Regional policies on avoided conversion,Lei nº 5.235/2018 - Política Estadual de Preservação dos Serviços Ambientais (PEPSA/MS),"Valorização dos serviços ecossistêmicos em Mato Grosso do Sul, com forte interface com mitigação no setor LULUCF:\nI. Conservação e valorização da biodiversidade, e\nII. Prevenção e combate a incêndios florestais."
2025 Disclosure Cycle,779465,CDP,848149,Mato Grosso do Sul,States & Regions,Latin America,Brazil,Public,Q10.4,Please explain what safeguards are in place to protect your region's forests in the long-term.,6,Row 6,Jurisdictional approaches or initiatives,REDD+ Jurisdicional,Submissão a elegibilidade no CONAREDD
2025 Disclosure Cycle,779465,CDP,848149,Mato Grosso do Sul,States & Regions,Latin America,Brazil,Public,Q10.4,Please explain what safeguards are in place to protect your region's forests in the long-term.,7,Row 7,Budget set aside for dedicated work on forest protection/conservation,DECRETO Nº 16.556/2025 - Fundo Clima Pantanal,"I - Programas de Pagamento por Serviços Ambientais, dentro dos limites do Bioma Pantanal, com prioridade para áreas de alta vulnerabilidade ambiental;\n\nII - fomento à governança territorial, ao desenvolvimento sustentável, ao apoio à pesquisa científica, à inovação e à gestão dos programas desenvolvidos, limitando-se a até 10% (dez por cento) dos recursos anuais do Fundo;\n\nIII - projetos de restauração de ecossistemas, proteção de mananciais, recuperação de áreas degradadas, prevenção e combate a incêndios florestais e apoio a cadeias produtivas sustentáveis, que contribuam para a preservação, o estoque e o sequestro de carbono, desde que vinculados ao PSA no Bioma Pantanal.\n"
2025 Disclosure Cycle,779465,CDP,848300,Aceh,States & Regions,South East Asia & Oceania,Indonesia,Public,Q10.4,Please explain what safeguards are in place to protect your region's forests in the long-term.,1,Row 1,Other: wildlife management,https://peraturan.bpk.go.id/Home/Download/286443/Qanun%20No%2011%20Thn%202019%20Ttg%20Pengelolaan%20Satwa%20Liar.pdf,"Law Number 11 of 2006 on Aceh Governance mandates that the Aceh Government is obliged to manage the environment by considering spatial planning, protecting natural resources (both biotic and abiotic), artificial resources, and conserving natural resources, ecosystems, cultural heritage, and biodiversity. In this management, the rights of indigenous peoples must be considered, and the primary objective is to maximize the welfare of the people."
2025 Disclosure Cycle,779465,CDP,848301,Central Kalimantan,States & Regions,South East Asia & Oceania,Indonesia,Public,Q10.4,Please explain what safeguards are in place to protect your region's forests in the long-term.,1,Row 1,National laws on improved forest management,https://peraturan.bpk.go.id/Home/Details/161853/pp-no-23-tahun-2021,Every sector in Central Kalimantan has following this regulation on improved forest management.
2025 Disclosure Cycle,779465,CDP,848301,Central Kalimantan,States & Regions,South East Asia & Oceania,Indonesia,Public,Q10.4,Please explain what safeguards are in place to protect your region's forests in the long-term.,2,Row 2,National laws on improved forest management,Law No. 41 of 1999 concerning forestry. Futher information: https://peraturan.bpk.go.id/Home/Details/45373/uu-no-41-tahun-1999,Supervising and Controlling Forest Areas and their ecosystems. This national laws is apllied for our jurisdiction.
2025 Disclosure Cycle,779465,CDP,848527,Sinaloa,States & Regions,Latin America,Mexico,Public,Q10.4,Please explain what safeguards are in place to protect your region's forests in the long-term.,2,Row 2,Targets to address deforestation/forest degradation are set,Establecimiento de Areas naturales protegidas,Brigadas contra Incendios Forestales
2025 Disclosure Cycle,779465,CDP,884371,Nayarit,States & Regions,Latin America,Mexico,Public,Q10.4,Please explain what safeguards are in place to protect your region's forests in the long-term.,1,Row 1,Management of Protected Areas,https://sds.nayarit.gob.mx/,"Se cuenta con una Brigada contra incendios forestales, la cual en la temporada de incendios da una atención a los mismos, y durante el resto del año realiza actividades de prevención, entre ellas hace reforestaciones y arborizaciones. "
2025 Disclosure Cycle,779465,CDP,884372,Tlaxcala,States & Regions,Latin America,Mexico,Public,Q10.4,Please explain what safeguards are in place to protect your region's forests in the long-term.,1,Row 1,Management of Protected Areas,https://www.facebook.com/share/p/2a53cV5EprczKzoa/,"Implementación de Zanjas bordo, brechas corta fuego y actividades de chaponeo."
2025 Disclosure Cycle,779465,CDP,884372,Tlaxcala,States & Regions,Latin America,Mexico,Public,Q10.4,Please explain what safeguards are in place to protect your region's forests in the long-term.,2,Row 2,Regional laws on improved forest management,https://www.facebook.com/share/p/AHw1cSkHzk6Y5Rz5,Implementación de programas como \'Bienestar de los ecosistemas\' y \'Compensación Ambiental por Cambio de Uso de Suelo en Terrenos Forestales 2024\'.
2025 Disclosure Cycle,779465,CDP,884372,Tlaxcala,States & Regions,Latin America,Mexico,Public,Q10.4,Please explain what safeguards are in place to protect your region's forests in the long-term.,3,Row 3,Regional policies on improved forest management,https://comunicacion.tlaxcala.gob.mx/index.php?view=article&id=16743:sma-pone-en-marcha-brigada-rural-de-manejo-del-fuego-en-areas-de-avisamiento-de-luciernagas&catid=2,Actividades de combate contra incendios y brigadas
2025 Disclosure Cycle,779465,CDP,884372,Tlaxcala,States & Regions,Latin America,Mexico,Public,Q10.4,Please explain what safeguards are in place to protect your region's forests in the long-term.,4,Row 4,Regional laws on avoided conversion,https://publicaciones.tlaxcala.gob.mx/indices/2Ex04042024.pdf,LEY DE ÁREAS NATURALES PROTEGIDAS DEL ESTADO DE TLAXCALA
2025 Disclosure Cycle,779465,CDP,906800,Federal District,States & Regions,Latin America,Mexico,Public,Q10.4,Please explain what safeguards are in place to protect your region's forests in the long-term.,1,Row 1,Other: Programa Especial de la Red de Infraestructura Verde de la Ciudad de México,Programa Especial de la Red de Infraestructura Verde de la Ciudad de México: \n\nhttps://www.sedema.cdmx.gob.mx/storage/app/media/DGSANPAVA/ProgramaEspecialdeInfraestructuraVerde_CDMX.pdf,"El programa de Infraestructura Verde ha determinado una serie de proyectos para la conservación de los Bosques Naturales de la Ciudad de México, las cuales consisten en: 1.Incremento, apropiación social y rehabilitación socioambiental en Zonas núcleo (Áreas Naturales Protegidas, Bosques Urbanos, Parques y Jardines). \n2.Recuperación integral de ríos, barrancas, canales, humedales y cuerpos de agua.\n3.Conservación de agua y control de escurrimientos superficiales en calles, avenidas y control de escurrimientos en microcuencas.\n4.Recuperación sustentable de Centros y Elementos Históricos de la Ciudad de México (acueductos, vías ferroviarias, ex haciendas, entre otras).\n5.Conectividad biológica a través del manejo forestal y la reconversión agroforestal.\n6.Reforestación, revegetación y saneamiento forestal en espacios rurales y urbanos.\n7.Regeneración ambiental de barrios y colonias en zonas rurales y urbanas."
2025 Disclosure Cycle,779465,CDP,906800,Federal District,States & Regions,Latin America,Mexico,Public,Q10.4,Please explain what safeguards are in place to protect your region's forests in the long-term.,2,Row 2,National laws on improved forest management,LEY GENERAL DE DESARROLLO FORESTAL SUSTENTABLE:\n\nhttps://www.diputados.gob.mx/LeyesBiblio/pdf/LGDFS.pdf,"Tiene por objeto regular y fomentar la conservación, protección, restauración, producción, ordenación, el cultivo, manejo y aprovechamiento de los ecosistemas forestales del país y sus recursos, así como distribuir las competencias que en materia forestal correspondan a la Federación, los Estados, la Ciudad de México y los Municipios, bajo el principio de concurrencia previsto en el artículo 73 fracción XXIX inciso G de la Constitución Política de los Estados Unidos Mexicanos, con el fin de propiciar el desarrollo forestal sustentable. Cuando se trate de recursos forestales cuya propiedad corresponda a los pueblos y comunidades indígenas se observará lo dispuesto por el artículo 2 de la Constitución Política de los Estados Unidos Mexicanos."
2025 Disclosure Cycle,779465,CDP,906800,Federal District,States & Regions,Latin America,Mexico,Public,Q10.4,Please explain what safeguards are in place to protect your region's forests in the long-term.,3,Row 3,Regional laws on improved forest management,Ley Ambiental de la Ciudad de México(antes Ley Ambiental de Protección a la Tierra en la Ciudad de México):\n\nhttps://data.consejeria.cdmx.gob.mx/portal_old/uploads/gacetas/1640aeed568985b08f3c4aca9ac2d6f6.pdf,"La Ley Ambiental de la Ciudad de México, es reglamentaria de las disposiciones contenidas en el Apartado A del artículo 13 y del Apartado A del artículo 16 de la Constitución Política de la Ciudad de México, que se refieren al derecho a un medio ambiente sano. Sus disposiciones son de orden público e interés social y tienen por objeto reconocer y regular la protección más amplia de los derechos de la naturaleza conformada por todos sus ecosistemas y especies como un ente colectivo sujeto de derechos"
