disclosure_cycle,cdp_requesting_org_number,requesting_organization,cdp_disclosing_org_number,disclosing_organization,disclosing_org_type,cdp_region,discloser_country_or_area,public_status,question_number,question_text,row_order,row_name,col1_Air pollution metric,col2_Value,col3_Number of air quality monitoring stations measuring this pollutant in your jurisdiction,col4_Year data was collected,col5_Weblink to air pollution data from monitoring site(s),col6_Comment
2025 Disclosure Cycle,779465,CDP,35853,"City of Baltimore, MD",City,North America,United States of America,Public,Q4.9,Report the following air pollution data for the jurisdiction.,2,Row 2,NO2 concentration (annual average) level (ug/m3),24,2,2023,https://www.epa.gov/outdoor-air-quality-data/air-quality-index-report,NO2 experienced the lowest amount of days reported by the EPA air quality index. No CO was captured in this dataset.
2025 Disclosure Cycle,779465,CDP,35853,"City of Baltimore, MD",City,North America,United States of America,Public,Q4.9,Report the following air pollution data for the jurisdiction.,3,Row 3,Particulate Matter PM2.5 concentration (annual average) level (ug/m3),176,2,2023,https://www.epa.gov/outdoor-air-quality-data/air-quality-index-report,No PM10 were collected by this dataset.
2025 Disclosure Cycle,779465,CDP,35853,"City of Baltimore, MD",City,North America,United States of America,Public,Q4.9,Report the following air pollution data for the jurisdiction.,4,Row 4,Other air pollution metric: O3,165,2,2023,https://www.epa.gov/outdoor-air-quality-data/air-quality-index-report,O3 increased by 67 days from 2021 data capture.
2025 Disclosure Cycle,779465,CDP,35856,Busan Metropolitan City,City,South East Asia & Oceania,Korea (The Republic of),Public,Q4.9,Report the following air pollution data for the jurisdiction.,1,Row 1,Particulate Matter PM2.5 concentration (annual average) level (ug/m3),14,33,2023,https://www.airkorea.or.kr/web/detailViewDown?pMENU_NO=125\n\nhttps://book.busan.go.kr/Viewer/5V1O9G3ODNQM,"2023년 전국 평균 19 ㎍/m^3\nSource : 에어코리아 2024년 대기환경연보\nhttps://www.airkorea.or.kr/web/detailViewDown?pMENU_NO=125\n\n2023년 기준 부산광역시는 도시대기측정소 28개 지점, 도로변대기측정소 4개 지점, 자체측정소 1개지점으로 총 33개소의 대기환경측정망과 초미세먼지(PM 2.5) 성분조사 3개지점을 운영하고 있음.\nSource : 2024년 부산광역시 대기질 평가보고서\nhttps://www.busan.go.kr/depart/abirinfo02"
2025 Disclosure Cycle,779465,CDP,35856,Busan Metropolitan City,City,South East Asia & Oceania,Korea (The Republic of),Public,Q4.9,Report the following air pollution data for the jurisdiction.,2,Row 2,NO2 concentration (annual average) level (ug/m3),0.013,33,2023,https://www.airkorea.or.kr/web/detailViewDown?pMENU_NO=125\n\nhttps://book.busan.go.kr/Viewer/5V1O9G3ODNQM,"2023년 전국 평균 0.0135 ppm\nSource : 에어코리아 2024년 대기환경연보\nhttps://www.airkorea.or.kr/web/detailViewDown?pMENU_NO=125\n\n2023년 기준 부산광역시는 도시대기측정소 28개 지점, 도로변대기측정소 4개 지점, 자체측정소 1개지점으로 총 33개소의 대기환경측정망과 초미세먼지(PM 2.5) 성분조사 3개지점을 운영하고 있음.\nSource : 2024년 부산광역시 대기질 평가보고서\nhttps://www.busan.go.kr/depart/abirinfo02"
2025 Disclosure Cycle,779465,CDP,35856,Busan Metropolitan City,City,South East Asia & Oceania,Korea (The Republic of),Public,Q4.9,Report the following air pollution data for the jurisdiction.,3,Row 3,Other air pollution metric: PM 10 annual average level( ㎍/m^3),26,33,2023,https://www.airkorea.or.kr/web/detailViewDown?pMENU_NO=125\n\nhttps://book.busan.go.kr/Viewer/5V1O9G3ODNQM,"2023년 전국 평균 37 ㎍/m^3\nSource : 에어코리아 2024년 대기환경연보\nhttps://www.airkorea.or.kr/web/detailViewDown?pMENU_NO=125\n\n2023년 기준 부산광역시는 도시대기측정소 28개 지점, 도로변대기측정소 4개 지점, 자체측정소 1개지점으로 총 33개소의 대기환경측정망과 초미세먼지(PM 2.5) 성분조사 3개지점을 운영하고 있음.\nSource : 2024년 부산광역시 대기질 평가보고서\nhttps://www.busan.go.kr/depart/abirinfo02"
2025 Disclosure Cycle,779465,CDP,35856,Busan Metropolitan City,City,South East Asia & Oceania,Korea (The Republic of),Public,Q4.9,Report the following air pollution data for the jurisdiction.,4,Row 4,Other air pollution metric: CO annual average level(ppm),0.32,33,2023,https://www.airkorea.or.kr/web/detailViewDown?pMENU_NO=125\n\nhttps://book.busan.go.kr/Viewer/5V1O9G3ODNQM,"2023년 전국 평균 0.39ppm\nSource : 에어코리아 2024년 대기환경연보\nhttps://www.airkorea.or.kr/web/detailViewDown?pMENU_NO=125\n\n2023년 기준 부산광역시는 도시대기측정소 28개 지점, 도로변대기측정소 4개 지점, 자체측정소 1개지점으로 총 33개소의 대기환경측정망과 초미세먼지(PM 2.5) 성분조사 3개지점을 운영하고 있음.\nSource : 2024년 부산광역시 대기질 평가보고서\nhttps://www.busan.go.kr/depart/abirinfo02"
2025 Disclosure Cycle,779465,CDP,35858,City of Cape Town,City,UKWW,South Africa,Public,Q4.9,Report the following air pollution data for the jurisdiction.,2,Row 2,Particulate Matter PM2.5 concentration (annual average) level (ug/m3),11,8,2024,https://saaqis.environment.gov.za/ ,"The South African Air Quality Information System (SAAQIS) is a web based interactive air quality information system which seeks to provide the state of air quality information to citizens, and it is a research portal for strengthening policy development related to air quality issues.\n*In 2024, the Khayelitsha monitoring station was not in operation.\n"
2025 Disclosure Cycle,779465,CDP,35858,City of Cape Town,City,UKWW,South Africa,Public,Q4.9,Report the following air pollution data for the jurisdiction.,3,Row 3,NO2 concentration (annual average) level (ug/m3),12,10,2024,https://saaqis.environment.gov.za/ ,"The South African Air Quality Information System (SAAQIS) is a web based interactive air quality information system which seeks to provide the state of air quality information to citizens, and it is a research portal for strengthening policy development related to air quality issues.\n*During 2024, the Bothasig and Khayelitsha monitoring stations were not in operation. \n"
2025 Disclosure Cycle,779465,CDP,35858,City of Cape Town,City,UKWW,South Africa,Public,Q4.9,Report the following air pollution data for the jurisdiction.,4,Row 4,Number of days exceeding air quality guidelines/standards (times/year),19,,2024,https://saaqis.environment.gov.za/ ,"The South African Air Quality Information System (SAAQIS) is a web based interactive air quality information system which seeks to provide the state of air quality information to citizens, and it is a research portal for strengthening policy development related to air quality issues.\n*The increase could in part be attributed to improved data recovery.\n"
2025 Disclosure Cycle,779465,CDP,35858,City of Cape Town,City,UKWW,South Africa,Public,Q4.9,Report the following air pollution data for the jurisdiction.,5,Row 5,Other air pollution metric: SO2 concentration (annual average) level (µg/m³),7,8,2024,https://saaqis.environment.gov.za/,"The South African Air Quality Information System (SAAQIS) is a web based interactive air quality information system which seeks to provide the state of air quality information to citizens, and it is a research portal for strengthening policy development related to air quality issues.\n*During 2024, the Bothasig and Khayelitsha monitoring stations were not in operation.\n"
2025 Disclosure Cycle,779465,CDP,35858,City of Cape Town,City,UKWW,South Africa,Public,Q4.9,Report the following air pollution data for the jurisdiction.,6,Row 6,Other air pollution metric: O3 concentration. (annual average) level (µg/m³),43,7,2024,https://saaqis.environment.gov.za/ ,"The South African Air Quality Information System (SAAQIS) is a web based interactive air quality information system which seeks to provide the state of air quality information to citizens, and it is a research portal for strengthening policy development related to air quality issues.\nThe notable increase from 2023 to 2024 may be attributed to improved data recovery in 2024. This improvement is likely due to reduced loadshedding, which positively impacted data availability. Additionally, there were more stations monitoring ozone in 2024 compared to 2023, contributing to the higher data volume.\n"
2025 Disclosure Cycle,779465,CDP,35858,City of Cape Town,City,UKWW,South Africa,Public,Q4.9,Report the following air pollution data for the jurisdiction.,7,Row 7,Other air pollution metric: CO2 concentration (annual average) level (ppm),537,2,2024,https://saaqis.environment.gov.za/ ,"The South African Air Quality Information System (SAAQIS) is a web based interactive air quality information system which seeks to provide the state of air quality information to citizens, and it is a research portal for strengthening policy development related to air quality issues.\n*The CO₂ analyser at the Atlantis monitoring station was out of service throughout 2024\n"
2025 Disclosure Cycle,779465,CDP,35858,City of Cape Town,City,UKWW,South Africa,Public,Q4.9,Report the following air pollution data for the jurisdiction.,8,Row 8,Other air pollution metric: H2S concentration. (annual average) level (µg/m³),9,1,2024,https://saaqis.environment.gov.za/ ,"The South African Air Quality Information System (SAAQIS) is a web based interactive air quality information system which seeks to provide the state of air quality information to citizens, and it is a research portal for strengthening policy development related to air quality issues."
2025 Disclosure Cycle,779465,CDP,35858,City of Cape Town,City,UKWW,South Africa,Public,Q4.9,Report the following air pollution data for the jurisdiction.,9,Row 9,Other air pollution metric: PM10 concentration. (annual average) level (µg/m³),27,8,2024,https://saaqis.environment.gov.za/ ,"The South African Air Quality Information System (SAAQIS) is a web based interactive air quality information system which seeks to provide the state of air quality information to citizens, and it is a research portal for strengthening policy development related to air quality issues\n*In 2024, the Khayelitsha monitoring station was not in operation.\n"
2025 Disclosure Cycle,779465,CDP,35860,"City of Dallas, TX",City,North America,United States of America,Public,Q4.9,Report the following air pollution data for the jurisdiction.,2,Row 2,Other air pollution metric: Annual 8 hour average Ozone level. This is the EPA 'Design Value' for North Texas.,76.0,20.0,2023.0,https://www.tceq.texas.gov/cgi-bin/compliance/monops/8hr_attainment.pl,"The National Ambient Air Quality Standard (NAAQS) for ozone is 70 ppb. The most recent complete year Design Value for Dallas is 76 ppb. Dallas and all of North Texas do not meet the ozone NAAQS and are under a federally mandated State Implementation Plan (SIP). Ozone levels have shown improvements in recent years. However, increased heat and drought associated with a changing climate may exacerbate the problem with ozone. Currently, Dallas is in severe non-attainment with an attainment deadline of July 2027. The number of air quality monitoring stations in the Dallas Ft Worth metroplex is 20. DFW area stations were provided, instead of only ones within City of Dallas limits, as ozone is a regional issue that is being worked on collectively through the Texas Commission on Environmental Quality TCEQ and with the North Central Texas Council of Governments. "
2025 Disclosure Cycle,779465,CDP,35863,eThekwini Municipality,City,UKWW,South Africa,Public,Q4.9,Report the following air pollution data for the jurisdiction.,1,Row 1,Particulate Matter PM2.5 concentration (annual average) level (ug/m3),20,3,2023,https://saaqis.environment.gov.za/,The PM2.5 levels are to be kept below the standard of 20ug/m3. There is a fluctuation about this average. With some areas being higher and other lower. The challenge is being able to meet the 2030 standards where this is level is expected to be reduced to 15ug/m3
2025 Disclosure Cycle,779465,CDP,35864,Ekurhuleni Metropolitan Municipality,City,UKWW,South Africa,Public,Q4.9,Report the following air pollution data for the jurisdiction.,2,Row 2,Particulate Matter PM2.5 concentration (annual average) level (ug/m3),33.0,4.0,2022.0,https://saaqis.environment.gov.za/,"The SAAQIS website is a National Platform developed by the Department of Environmental Affairs, Fisheries and Forestry. The website allows all stakeholders to have access to air quality real time data. Using the website stakeholders can interrogate emissions at all stations that are located within the City. The City did not the National Ambient air Quality Standard for the year 2021 & 2022. The City wide PM2.5 average for 2021 was 37,1022 µg/m3 and 33, 2947 µg/m3 in 2022. The 2021 average is based on 3 functional analyzers out of four, while the 2022 average is based on no non-functional analyzers (all four were working). The standard for PM2.5 is 20µg/m3, therefore the City exceeded this in both these years. The City has not met the National Ambient Air Quality standards for PM10 & PM2.5 for the following reasons: transboundary air pollution - the City is adjacent to large metropolitan municipalities and sits within the Highveld Priority Area therefore making it challenging to control air pollution within the city boundary. The City is also an industrial hub in the Gauteng Province, and this contributes towards increased concentrations of pollutants."
